Area #,Area Name,2017 Population
1,Rogers Park,55062
2,West Ridge,76215
3,Uptown,57973
4,Lincoln Square,41715
5,North Center,35789
6,Lake View,100470
7,Lincoln Park,67710
8,Near North Side,88893
9,Edison Park,11605
10,Norwood Park,37089
11,Jefferson Park,26808
12,Forest Glen,19019
13,North Park,18842
14,Albany Park,51992
15,Portage Park,64307
16,Irving Park,54606
17,Dunning,43689
18,Montclare,13830
19,Belmont Cragin,79910
20,Hermosa,24144
21,Avondale,37368
22,Logan Square,73046
23,Humboldt Park,56427
24,West Town,84502
25,Austin,95260
26,West Garfield Park,17163
27,East Garfield Park,19996
28,Near West Side,62872
29,North Lawndale,35947
30,South Lawndale,74851
31,Lower West Side,32888
32,(The) Loop[11],35880
33,Near South Side,23620
34,Armour Square,13455
35,Douglas,20781
36,Oakland,6645
37,Fuller Park,2439
38,Grand Boulevard,22313
39,Kenwood,17189
40,Washington Park,11502
41,Hyde Park,26827
42,Woodlawn,23268
43,South Shore,50418
44,Chatham,31120
45,Avalon Park,9985
46,South Chicago,28263
47,Burnside,2254
48,Calumet Heights,13188
49,Roseland,42433
50,Pullman,6613
51,South Deering,14614
52,East Side,23737
53,West Pullman,27742
54,Riverdale,7394
55,Hegewisch,9418
56,Garfield Ridge,36396
57,Archer Heights,13142
58,Brighton Park,44813
59,McKinley Park,15767
60,Bridgeport,33637
61,New City,39561
62,West Elsdon,19237
63,Gage Park,40873
64,Clearing,25891
65,West Lawn,33108
66,Chicago Lawn,53098
67,West Englewood,29929
68,Englewood,25075
69,Greater Grand Crossing,31766
70,Ashburn,43792
71,Auburn Gresham,46278
72,Beverly,20822
73,Washington Heights,27453
74,Mount Greenwood,19277
75,Morgan Park,22394
76,O'Hare,12377
77,Edgewater,55965
